sale_id,sale_date,customer_id,product_id,quantity,unit_price,discount,region,sales_channel
S-00056,2024-10-10,C-0190,P-038,1,248.82,0.0,East,partner
S-00057,2024-09-13,C-0039,P-031,1,493.79,0.1,North,partner
S-00058,2024-03-29,C-0011,P-042,4,492.53,0.2,Central,partner
S-00059,2024-03-22,C-0094,P-040,6,363.1,0.15,West,retail
S-00060,2024-11-02,C-0014,P-044,6,94.61,0.0,Central,partner
S-00061,2024-05-25,C-0065,P-025,10,223.46,0.1,North,partner
S-00062,2024-03-13,C-0090,P-043,5,379.14,0.15,South,partner
S-00063,2024-06-07,C-0144,P-006,7,286.35,0.1,South,partner
S-00064,2024-12-16,C-0135,P-045,2,59.48,0.15,Central,retail
S-00065,2024-07-04,C-0080,P-002,3,342.97,0.1,West,online
S-00066,2024-03-11,C-0040,P-015,2,280.13,0.0,Central,partner
S-00067,2024-01-20,C-0170,P-034,6,429.13,0.0,Central,retail
S-00068,2024-03-24,C-0047,P-010,10,245.39,0.0,West,online
S-00069,2024-07-05,C-0174,,4,380.56,0.05,West,online
S-00070,2024-05-02,C-0080,P-035,8,235.82,0.0,East,partner
S-00071,2024-08-13,C-0119,P-037,5,46.54,0.25,Central,retail
S-00072,2024-04-12,C-0155,P-011,3,495.73,0.0,West,retail
S-00073,2024-02-22,C-0183,P-036,9,305.16,0.05,North,online
S-00074,2024-08-18,C-0132,P-018,3,497.66,0.0,South,retail
S-00075,2024-01-14,C-0107,P-023,1,428.66,0.1,South,retail
S-00076,2024-07-10,C-0058,P-006,1,268.27,0.0,East,online
S-00077,2024-01-20,C-0074,P-009,8,218.93,0.0,West,retail
S-00078,2024-01-03,C-0021,P-040,1,318.73,0.0,Central,partner
S-00079,2024-09-27,C-0109,P-039,2,246.15,0.0,East,online
S-00080,2024-05-02,C-0108,P-004,10,64.55,0.0,West,partner
S-00081,2024-01-09,C-0162,P-035,9,221.46,0.0,East,retail
S-00082,2024-11-10,C-0091,P-901,4,265.33,0.0,North,partner
S-00083,2024-02-04,C-0135,P-024,9,456.34,0.25,Central,online
S-00084,2024-08-28,C-0012,P-025,7,227.95,0.05,North,retail
S-00085,2024-06-25,C-0062,P-005,2,375.69,0.1,South,online
S-00086,2024-10-06,C-0087,P-023,3,466.64,0.2,West,partner
S-00087,2024-03-10,C-0017,P-012,8,392.62,0.0,North,online
S-00088,2024-06-10,C-0080,P-003,9,271.22,0.25,West,retail
S-00089,2024-11-27,C-0049,P-003,5,268.94,0.0,East,retail
S-00090,2024-07-07,C-0112,P-008,7,263.95,0.15,East,online
S-00091,2024-12-20,C-0128,P-032,6,413.74,0.25,East,online
S-00092,2024-02-10,C-0111,P-028,10,469.18,0.0,Central,retail
S-00093,2024-02-22,C-0021,P-021,6,202.42,0.05,West,partner
S-00094,2024-03-26,C-0177,P-028,8,414.23,0.0,East,partner
S-00095,2024-05-20,C-0164,P-028,1,390.63,0.15,East,partner
S-00096,2024-03-22,C-0008,P-044,3,110.84,0.2,North,online
S-00097,2024-04-30,C-0200,P-005,6,346.52,0.0,Central,online
S-00098,2024-08-18,C-0095,P-044,6,102.45,0.0,Central,online
S-00099,2024-07-06,C-0102,P-034,6,411.03,0.0,North,online
S-00100,2024-09-12,C-0133,P-012,7,468.48,0.0,East,retail
S-00101,2024-04-19,C-0157,P-029,5,327.5,0.2,South,online
S-00102,2024-02-07,C-0116,P-009,3,227.47,0.2,North,partner
S-00103,2024-12-07,C-0089,P-021,2,198.07,0.05,East,online
S-00104,2024-11-22,C-0045,P-045,6,57.89,0.0,South,online
S-00105,2024-09-09,C-0007,P-016,6,228.48,0.1,West,partner
S-00106,2024-11-09,C-0023,P-009,2,202.63,0.2,Central,retail
S-00107,2024-10-21,C-0019,P-027,3,380.76,0.0,West,retail
S-00108,2024-09-21,C-0089,P-044,3,111.44,0.25,Central,online
S-00109,2024-08-09,C-0129,P-009,1,224.63,0.25,South,retail
S-00110,2024-03-23,C-0083,P-011,4,447.11,0.25,East,online
S-00111,2024-04-10,C-0163,P-017,9,265.65,0.05,Central,partner
S-00112,2024-09-14,C-0165,P-006,3,283.47,0.0,South,partner
S-00113,2024-11-05,C-0087,P-040,10,304.34,0.0,North,online
S-00114,2024-10-22,C-0068,P-042,4,498.14,0.15,Central,partner
S-00115,2024-09-11,C-0161,P-002,9,301.35,0.05,West,online
S-00116,2024-07-26,C-0077,P-044,8,94.76,0.0,South,retail
S-00117,2024-09-04,C-0119,P-027,4,336.77,0.0,East,partner
S-00118,2024-06-25,C-0103,P-021,3,206.33,0.25,Central,online
S-00119,2024-05-03,C-0120,P-021,2,186.99,0.0,South,online
S-00120,2024-05-28,C-0099,P-004,10,64.04,0.0,East,partner
S-00121,2024-04-07,C-0196,P-021,3,196.04,0.25,West,retail
S-00122,2024-09-11,C-0006,P-020,2,28.98,0.25,West,online
S-00123,2024-10-25,C-0091,P-050,1,131.97,0.2,Central,partner
S-00124,2024-08-28,C-0074,P-044,9,93.42,0.0,West,online
S-00125,2024-07-06,C-0196,P-017,7,270.74,0.15,North,partner
S-00126,2024-04-09,C-0093,P-036,9,273.07,0.15,Central,retail
S-00127,2024-05-23,C-0160,P-036,10,263.39,0.0,West,retail
S-00128,2024-10-12,C-0094,P-022,3,63.43,0.25,West,partner
S-00129,2024-01-24,C-0010,P-003,3,288.69,0.2,Central,retail
S-00130,2024-11-06,C-0132,P-010,3,223.16,0.1,South,retail
S-00131,2024-06-02,C-0152,P-040,6,335.58,0.25,Central,retail
S-00132,2024-06-02,C-0122,P-037,1,42.93,0.0,West,partner
S-00133,2024-12-18,C-0162,P-020,1,27.13,0.05,Central,partner
S-00134,,C-0150,P-015,8,272.81,0.15,South,partner
S-00135,2024-01-17,C-0147,P-016,2,212.06,0.2,East,retail
S-00136,2024-07-30,C-0177,P-010,4,226.97,0.2,North,partner
S-00137,2024-09-22,C-9904,P-009,9,203.3,0.2,Central,retail
S-00138,2024-03-29,C-0118,,9,189.93,0.1,East,partner
S-00139,2024-04-08,C-0064,P-031,5,504.52,0.0,East,retail
S-00140,2024-12-19,C-0181,P-014,8,139.7,0.1,Central,Online 
S-00141,2024-05-27,C-0032,P-018,10,483.25,0.15,West,retail
S-00142,2024-05-28,C-0011,P-010,5,252.16,0.0,East,retail
S-00143,2024-05-11,C-0192,P-042,8,445.84,0.25,East,partner
S-00144,2024-05-19,C-0036,P-045,2,59.13,0.0,South,online
S-00145,2024-09-28,C-0058,P-043,4,315.68,0.15,East,partner
S-00146,2024-02-21,C-0175,P-031,3,449.37,0.25,west ,retail
S-00147,2024-08-31,C-0123,P-042,4,497.09,0.05,East,retail
S-00148,2024-01-31,C-0197,P-042,2,487.29,0.0,Central,partner
S-00149,2024-03-30,C-0107,P-003,586,300.89,0.0,West,retail
S-00150,2024-05-28,C-0010,P-012,1,415.24,0.0,East,retail
S-00151,2024-11-24,C-0140,P-030,9,22.74,0.0,Central,retail
S-00152,2024-04-08,C-0029,P-018,6,435.25,0.2,East,partner
S-00153,2024-01-08,C-0189,P-012,6,457.85,0.0,South,partner
S-00154,2024-07-26,C-0110,P-041,9,328.7,0.15,North,online
S-00155,2024-09-01,C-0083,P-009,4,189.89,0.15,South,retail
S-00156,2024-06-17,C-0078,P-018,10,487.57,0.0,East,partner
S-00157,2024-12-20,C-0061,P-024,1,470.96,0.2,East,online
S-00158,2024-12-17,C-0129,P-026,5,406.77,0.05,East,partner
S-00159,2024-04-22,C-0035,P-015,8,271.8,0.1,West,partner
S-00160,2024-08-29,C-0194,P-036,9,302.35,0.0,South,partner
S-00161,2024-02-11,C-0135,P-039,8,234.58,0.1,North,partner
S-00162,2024-02-01,C-0141,P-008,9,236.71,0.25,South,online
S-00163,2024-09-23,C-0114,P-021,2,203.18,0.2,North,partner
S-00164,2024-01-29,C-0117,P-029,3,316.11,0.2,Central,online
S-00165,2024-08-24,C-0173,P-036,5,297.86,0.15,East,online
S-00166,2024-10-23,C-0019,P-014,1,142.8,0.0,Central,online
S-00167,2024-08-29,C-0009,P-005,5,349.85,0.0,West,retail
S-00168,2024-08-17,C-0097,P-025,7,190.48,0.25,South,partner
S-00169,2024-03-01,C-0046,P-023,9,428.36,0.0,South,online
S-00170,2024-06-01,C-0119,P-002,9,309.81,0.15,South,online
S-00171,2024-06-26,C-0040,P-030,5,21.35,0.0,North,partner
S-00172,2024-11-10,C-0197,P-027,1,329.85,0.0,North,partner
S-00173,2024-08-16,C-0154,P-003,1,262.73,0.0,West,retail
S-00174,2024-10-03,C-0056,P-015,1,271.04,0.05,South,partner
S-00175,2024-06-12,C-0148,P-037,10,46.49,0.1,South,retail
S-00176,2024-12-04,C-0134,P-010,4,227.11,0.05,North,partner
S-00177,2024-03-30,C-0161,P-038,7,254.16,0.0,East,
S-00178,2024-07-14,C-0135,P-043,6,360.32,0.15,South,retail
S-00179,,C-0194,P-025,9,206.84,0.0,East,partner
S-00180,2024-08-25,C-0015,P-010,9,227.07,0.15,Central,partner
S-00181,2024-07-17,C-0063,P-009,5,198.17,0.0,West,retail
S-00182,2024-10-01,C-0186,P-006,4,253.39,0.15,Central,partner
S-00183,2024-02-07,C-0049,P-003,10,289.28,0.25,South,retail
S-00184,2024-06-19,C-0078,P-014,1,136.65,0.0,North,partner
S-00185,2024-05-04,C-0179,P-031,10,519.06,0.15,South,partner
S-00186,2024-05-24,C-0098,P-021,8,197.43,0.1,East,retail
S-00187,2024-09-19,C-0128,P-024,8,419.09,0.2,East,online
S-00188,2024-06-09,C-0106,P-024,1,461.37,0.0,South,online
S-00189,2024-10-10,C-0150,P-017,10,290.44,0.05,South,online
S-00190,2024-04-27,C-0098,P-022,10,71.99,0.2,Central,partner
S-00191,2024-06-21,C-0066,P-044,8,113.28,0.2,West,online
S-00192,2024-03-27,C-0036,P-023,9,436.7,0.25,North,partner
S-00193,2024-02-08,C-0172,P-003,1,291.5,0.15,South,partner
S-00194,2024-02-04,C-0182,P-015,3,263.39,0.25,West,retail
S-00195,2024-11-12,C-0164,P-004,10,70.48,0.2,North,online
S-00196,2024-10-09,C-0106,P-035,1,197.1,0.05,Central,retail
S-00197,2024-09-14,C-0179,P-002,7,333.84,0.0,North,online
S-00198,2024-03-17,C-0062,P-034,4,408.65,0.05,East,retail
S-00199,2024-02-10,C-0096,P-026,7,388.65,0.0,South,retail
S-00200,2024-02-11,C-0168,P-044,1,95.19,0.15,West,partner
S-00201,2024-01-29,C-0164,P-031,1,518.96,0.0,West,retail
S-00202,2024-06-18,C-0145,P-042,2,510.23,0.0,South,online
S-00203,2030-08-09,C-0122,P-045,5,52.55,0.0,East,partner
S-00204,2024-12-02,C-0009,P-037,3,47.87,0.1,North,online
S-00205,2024-03-14,C-0193,P-038,7,272.91,0.05,South,partner
S-00206,2024-10-17,C-0100,P-016,9,218.43,0.0,North,partner
S-00207,2024-01-28,C-0026,P-023,7,414.27,0.0,East,partner
S-00208,2024-10-31,C-0102,P-040,6,303.57,0.05,West,retail
S-00209,2024-07-01,C-0142,P-015,7,288.08,0.15,North,partner
S-00210,2024-05-06,C-0183,P-019,2,263.96,0.0,West,partner
S-00211,2024-03-19,C-0190,P-041,7,327.94,0.0,North,online
S-00212,2024-08-15,C-0093,P-020,5,24.49,0.0,South,retail
S-00213,2024-10-12,C-0143,P-029,9,309.47,0.0,North,retail
S-00214,2024-02-17,C-0153,P-036,10,301.35,0.15,North,retail
S-00215,2024-07-17,C-0200,P-027,2,363.53,0.25,South,partner
S-00216,2024-03-27,C-0176,P-034,7,372.71,0.05,East,retail
S-00217,2024-03-15,C-0017,P-032,3,376.4,0.15,East,retail
S-00218,2024-07-03,,P-005,4,372.08,0.2,Central,partner
S-00219,2024-08-22,C-0028,P-013,3,166.47,0.15,East,partner
S-00220,2024-06-17,C-0113,P-025,6,205.05,0.0,East,retail
S-00221,2024-12-21,C-0052,P-039,8,224.6,0.15,East,retail
S-00222,2024-11-20,C-0126,P-045,10,61.05,0.1,West,retail
S-00223,2024-07-05,C-0030,P-026,10,368.33,0.25,South,partner
S-00224,2024-01-14,C-0187,P-036,8,310.39,0.0,West,retail
S-00225,2024-02-05,C-0105,P-045,8,53.62,0.05,South,retail
S-00226,2024-03-19,C-0184,P-043,7,366.76,0.0,West,partner
S-00227,2024-10-25,C-0103,P-031,9,499.39,0.15,Central,online
S-00228,2024-12-25,C-0138,P-024,10,468.26,0.0,North,online
S-00229,2024-12-06,C-0091,P-043,3,356.9,0.0,Central,partner
S-00230,2024-11-27,C-0103,P-044,6,113.26,0.15,North,online
S-00231,2024-05-12,C-0057,P-007,-3,244.94,0.25,Central,partner
S-00232,2024-04-23,C-0115,P-037,6,43.13,0.25,South,retail
S-00233,2024-09-04,C-0027,P-002,5,309.29,0.0,North,partner
S-00234,2024-06-27,C-0080,P-010,6,229.05,0.0,Central,retail
S-00235,2024-08-31,C-0025,P-023,8,457.15,0.2,East,online
S-00236,2024-01-23,C-0182,P-020,2,24.07,0.1,North,partner
S-00237,2024-05-04,C-0133,P-011,3,466.11,0.1,Central,retail
S-00238,2024-04-28,C-9910,P-030,3,21.34,0.15,West,online
S-00239,2024-04-11,C-0116,P-040,10,330.37,0.0,South,online
S-00240,2024-12-26,C-0017,P-018,10,429.58,0.25,South,retail
S-00241,2024-04-10,C-0118,P-021,2,186.79,0.2,Central,partner
S-00242,2024-11-01,C-0100,P-021,10,191.9,0.0,East,retail
S-00243,2024-11-12,C-0045,P-030,5,24.68,0.0,South,retail
S-00244,2024-05-02,C-0079,P-008,2,235.74,0.0,Central,retail
S-00245,2024-11-01,C-0036,P-027,10,339.8,0.0,West,partner
S-00246,2024-12-21,C-0166,P-035,3,220.59,0.2,East,online
S-00247,2024-06-10,C-0116,P-012,10,394.06,0.1,North,retail
S-00248,2024-04-09,C-0099,P-009,9,210.9,0.2,West,
S-00249,2024-07-31,C-0182,P-032,8,380.52,0.0,Central,online
S-00250,2024-05-29,C-0009,P-015,5,275.99,0.05,South,retail
S-00251,2024-09-10,C-0141,P-037,9,40.68,0.0,East,partner
S-00252,2024-10-04,C-0194,P-024,1,479.37,0.2,Central,online
S-00253,2024-02-22,C-0189,P-028,4,409.64,0.0,West,retail
S-00254,2024-02-14,C-0113,P-023,2,461.85,0.0,South,partner
S-00255,2024-12-18,C-0090,P-038,10,258.02,0.0,Central,online
S-00256,2024-04-15,C-0016,P-014,10,140.68,0.05,Central,partner
S-00257,2024-06-14,C-0181,P-011,5,441.88,0.05,Central,partner
S-00258,2024-03-10,C-0193,P-007,7,252.97,0.05,South,partner
S-00259,2024-05-07,C-0038,P-009,6,224.51,0.15,West,online
S-00260,2024-11-19,C-0069,P-037,7,42.99,0.0,North,retail
S-00261,2024-05-22,C-0178,P-033,6,345.37,0.2,Mordor,partner
S-00262,2024-02-17,C-0188,P-001,8,268.69,0.1,North,partner
S-00263,2024-04-21,C-0110,P-026,4,391.45,0.1,East,retail
S-00264,2024-10-22,C-0034,P-036,10,305.23,0.1,North,online
S-00265,2024-11-16,C-0118,P-007,1,215.88,0.0,West,retail
S-00266,2024-08-07,C-0052,P-001,3,281.63,0.05,South,retail
S-00267,2024-12-01,C-0093,P-006,5,255.11,0.0,North,retail
S-00268,2024-06-05,C-0186,P-041,4,335.6,0.0,North,online
S-00269,2024-09-01,C-0020,P-014,3,147.73,0.25,West,online
S-00270,2024-12-22,C-0088,P-001,2,287.17,0.15,South,retail
S-00271,2024-04-27,C-0099,P-005,2,372.79,0.0,North,retail
S-00272,2024-06-02,C-0036,P-024,7,480.59,0.0,South,online
S-00273,2024-10-15,C-0003,P-906,10,411.06,0.2,East,partner
S-00274,2024-11-17,C-0192,P-014,3,157.19,0.2,South,online
S-00275,2024-03-12,C-0193,P-007,2,237.6,0.15,East,retail
S-00276,2024-03-12,C-0064,P-021,5,201.78,0.0,Central,partner
S-00277,2024-11-07,C-0073,P-039,1,249.5,0.05,South,partner
S-00278,2024-09-17,C-0049,P-039,7,223.73,0.0,South,retail
S-00279,2024-02-27,C-0062,P-025,8,213.68,0.0,Central,online
S-00280,2024-06-11,C-0034,P-024,7,488.55,0.15,East,partner
S-00281,2024-03-29,C-0196,P-044,8,-22.65,0.0,North,partner
S-00282,2024-01-08,C-0068,P-005,4,323.54,0.0,,partner
S-00283,2024-11-17,C-0183,P-019,9,303.43,0.15,West,online
S-00284,2024-10-01,C-0138,P-041,10,316.77,0.0,East,online
S-00285,2024-04-14,C-0040,P-033,9,336.45,0.0,East,partner
S-00286,2024-05-02,C-0015,P-028,4,391.58,0.15,North,retail
S-00287,2024-11-07,C-0015,P-040,5,346.22,0.0,North,online
S-00288,2024-12-25,C-0003,P-009,3,210.52,0.1,Central,partner
S-00289,2024-03-26,C-0096,P-017,3,292.1,0.05,North,online
S-00290,2024-08-07,C-0070,P-022,9,61.6,0.0,West,retail
S-00291,2024-07-03,C-0015,P-033,8,373.58,0.0,East,online
S-00292,2024-02-22,C-0147,P-017,2,263.09,0.25,North,online
S-00293,2024-05-05,C-0012,P-001,8,254.51,0.0,South,online
S-00294,2024-12-31,C-0190,P-036,7,269.42,0.0,West,partner
S-00295,2024-05-18,C-0020,P-021,10,191.12,0.25,North,online
S-00296,2024-09-21,C-0012,P-015,7,266.88,0.2,East,retail
S-00297,2024-02-14,C-0142,P-021,8,176.81,0.0,East,partner
S-00298,2024-11-14,C-0063,P-020,8,25.91,0.2,South,STORE 
S-00299,2024-05-05,C-0039,P-035,1,237.06,0.0,South,partner
S-00300,2024-11-21,C-0178,P-023,1,477.2,0.0,EAST,partner
S-00301,2024-02-23,C-0053,P-020,9,29.18,0.15,West,online
S-00302,2024-12-30,C-0072,P-904,2,210.03,0.0,Central,retail
S-00303,2024-07-09,C-0118,P-045,2,58.72,0.25,South,partner
S-00304,2024-02-08,C-0152,P-026,10,357.56,0.0,South,retail
S-00305,2024-06-10,C-0101,P-017,6,268.08,0.05,South,online
S-00306,2024-03-10,C-0200,P-013,10,159.69,0.0,South,retail
S-00307,2024-06-09,C-0105,P-030,2,22.93,0.0,West,retail
S-00308,2024-05-15,C-0031,P-030,2,21.21,0.05,Central,online
S-00309,2024-06-16,C-0038,P-014,2,151.13,0.1,West,partner
S-00310,2024-12-12,C-0077,P-004,5,69.28,0.0,North,retail
S-00311,2024-10-11,C-0192,P-029,9,299.5,0.2,North,online
S-00312,2024-01-07,C-0016,P-008,4,233.11,0.15,East,partner
S-00313,2024-11-26,C-0022,P-041,10,346.28,0.0,North,online
S-00314,2024-11-26,C-0114,P-013,3,159.1,0.1,North,online
S-00315,2024-01-26,C-0044,P-030,10,22.47,0.15,West,online
S-00316,2024-12-15,C-0110,P-025,3,201.87,0.0,East,retail
S-00317,2024-03-17,C-0009,P-029,10,322.78,0.0,East,retail
S-00318,2024-10-08,C-0123,P-027,1,319.2,0.15,South,retail
S-00319,2024-11-25,C-0135,P-013,4,177.77,0.25,North,retail
S-00320,2024-09-02,C-0140,P-023,8,424.07,0.25,East,retail
S-01938,2024-01-10,C-0081,P-031,9,536.71,0.15,South,partner
S-00321,2024-04-02,C-0007,P-018,6,475.83,0.0,East,online
S-00322,2024-09-28,C-0092,P-031,10,548.56,0.0,North,online
S-00323,2024-05-03,C-0069,P-043,9,368.64,0.0,South,partner
S-00324,2024-06-30,C-0045,P-025,3,196.98,0.1,East,partner
S-00325,2024-12-26,C-0180,P-002,6,342.74,0.0,Central,online
S-00326,2024-10-04,C-0080,P-032,3,380.65,0.0,North,online
S-00327,2024-04-22,C-0006,P-039,9,232.24,0.1,Central,online
S-00328,2024-06-23,C-0184,P-009,3,228.31,0.1,North,online
S-00329,2024-10-27,C-0181,P-010,3,243.79,0.25,East,online
S-00330,2024-12-26,C-0170,P-024,7,463.51,0.1,East,retail
S-00331,2024-03-21,C-0188,P-009,7,222.97,0.2,East,online
S-00332,2024-12-21,C-0158,P-036,6,269.35,0.0,,retail
S-00333,2024-05-30,C-0033,P-045,3,60.43,0.15,Central,online
S-00334,2024-11-04,C-0082,P-012,10,408.54,0.0,West,online
S-00335,2024-02-09,C-0061,P-022,6,74.0,0.0,North,partner
S-00336,2024-11-23,C-0187,P-043,6,343.01,0.05,South,online
S-00337,2024-02-04,C-0090,P-045,5,61.11,0.0,North,retail
S-00338,2024-08-02,C-0043,P-029,549,314.83,0.15,East,partner
S-00339,2024-02-21,C-0123,P-025,10,214.22,0.0,South,retail
S-00340,2024-01-18,C-0076,P-005,1,343.42,0.0,North,retail
S-00341,2024-07-11,C-0042,P-011,2,465.66,0.0,East,partner
S-00342,2024-09-04,C-0181,P-040,1,330.49,0.0,Central,retail
S-00343,2024-01-28,C-0026,P-011,6,434.15,0.0,West,partner
S-00344,2024-10-03,C-0068,P-036,5,273.58,0.0,North,retail
S-00345,2024-10-08,C-0126,P-037,3,40.16,0.0,West,online
S-00346,2024-12-04,C-0161,P-019,10,286.91,0.0,North,online
S-00347,2024-11-22,C-0075,P-011,2,458.88,0.0,East,retail
S-00348,2024-09-07,C-0170,P-031,5,457.95,0.25,West,online
S-00349,2024-07-14,C-0095,P-024,3,450.73,0.05,West,retail
S-00350,2024-04-25,C-0069,P-017,10,253.81,0.0,North,partner
S-00351,2024-10-04,C-0106,P-023,10,413.87,0.0,West,partner
S-00352,2024-10-01,C-0176,P-027,8,352.95,0.0,West,retail
S-00353,2024-07-21,C-0183,P-006,1,278.48,0.25,Central,partner
S-00354,2030-04-20,C-0031,P-040,8,313.17,0.0,South,online
S-00355,2024-01-22,C-0109,P-009,2,231.24,0.15,South,partner
S-00356,2024-10-31,C-0067,P-010,6,250.1,0.0,North,retail
S-00357,2024-07-22,C-0142,P-036,6,305.47,0.25,West,online
S-00358,2024-11-15,C-0151,P-045,9,61.05,0.0,West,online
S-00359,2024-10-17,C-0151,P-010,10,243.05,0.0,North,partner
S-00360,2024-05-26,C-0138,P-007,6,251.06,0.05,West,partner
S-00361,2024-10-19,C-0156,P-032,8,346.1,0.05,West,online
S-00362,2024-11-07,C-0175,P-040,7,304.18,0.1,South,online
S-00363,2024-05-17,C-0096,P-031,1,482.56,0.05,East,retail
S-00364,2024-12-22,C-0176,P-032,2,417.42,0.0,South,retail
S-00365,2024-06-13,C-0069,P-029,7,321.89,0.0,South,retail
S-00366,2024-07-27,C-0190,P-014,8,152.54,0.1,North,partner
S-00367,2024-02-03,C-0080,P-011,9,452.41,0.25,Central,online
S-00368,2024-04-08,C-0052,P-012,1,411.01,0.2,North,retail
S-00369,2024-05-20,C-0095,P-013,8,173.42,0.0,North,online
S-00370,2024-09-07,C-0153,P-024,8,426.29,0.2,Central,partner
S-00371,2024-06-25,C-0042,P-023,5,459.52,0.0,East,online
S-00372,2024-01-26,C-0042,P-025,10,219.58,0.0,South,partner
S-00373,2024-12-12,C-0053,P-015,5,300.91,0.25,North,partner
S-00374,2024-08-30,C-0034,P-001,3,266.92,0.0,South,retail
S-00375,2024-06-05,C-0183,P-039,5,229.72,0.15,East,retail
S-00376,2024-04-21,C-0120,P-017,5,288.06,0.15,Central,online
S-00377,2024-09-18,C-0170,P-001,6,264.85,0.05,East,partner
S-00378,2024-09-03,C-0017,P-007,6,256.22,0.1,East,retail
S-00379,2024-12-30,C-0167,P-042,5,443.42,0.25,South,online
S-00380,2024-07-25,C-9907,P-039,6,241.7,0.0,West,retail
S-00381,2024-08-02,C-0104,P-017,7,291.37,0.0,East,partner
S-00382,2024-12-17,C-0137,P-015,8,315.81,0.1,Central,retail
S-00383,2024-12-02,C-0143,P-011,3,442.29,0.2,,partner
S-00384,2024-10-13,C-0196,P-017,3,303.07,0.1,North,online
S-00385,2024-04-24,C-0191,P-023,5,430.76,0.1,East,retail
S-00386,2024-05-30,C-0119,P-038,2,249.87,0.0,West,online
S-00387,2024-03-02,C-0175,P-033,7,350.61,0.56,North,online
